ATC_OLD,ATC_NEW,YEAR_RENAME
L01XE53,L01EX12,2021
L01XE54,L01EX13,2021
L01XE56,L01EX14,2021
L01XE57,L01EJ02,2021
L01XX09,P01CX04,2020
L01XX14,L01XF01,2021
L01XX17,L01CE01,2021
L01XX19,L01CE02,2021
L01XX22,L01XF02,2021
L01XX25,L01XF03,2021
L01XX28,L01XE01,2007
L01XX31,L01XE02,2007
L01XX32,L01XG01,2021
L01XX34,L01XE03,2007
L01XX37,L01XL01,2023
L01XX38,L01XH01,2021
L01XX39,L01XH02,2021
L01XX42,L01XH03,2021
L01XX43,L01XJ01,2021
L01XX45,L01XG02,2021
L01XX46,L01XK01,2021
L01XX47,L01EM01,2021
L01XX48,L01XJ02,2021
L01XX49,L01XH04,2021
L01XX50,L01XG03,2021
L01XX51,L01XL02,2023
L01XX54,L01XK02,2021
L01XX55,L01XK03,2021
L01XX56,L01CE03,2021
L01XX59,L01XM01,2025
L01XX60,L01XK04,2021
L01XX61,L01EM02,2021
L01XX62,L01XM02,2025
L01XX63,L01XJ03,2021
L01XX64,L01XH05,2021
L01XX65,L01EM03,2021
L01XX68,L01CE04,2021
L01XX70,L01XL03,2023
L01XX71,L01XL04,2023
L01XY02,L01FY01,2024
L01XY03,L01FY02,2024
L04AA01,L04AD01,2008
L04AA02,L04AG01,2024
L04AA05,L04AD02,2008
L04AA08,L04AC01,2008
L04AA09,L04AC02,2008
L04AA10,L04AH01,2024
L04AA11,L04AB01,2008
L04AA12,L04AB02,2008
L04AA13,L04AK01,2024
L04AA14,L04AC03,2008
L04AA16,L04AB03,2008
L04AA17,L04AB04,2008
L04AA18,L04AH02,2024
L04AA21,L04AG02,2024
L04AA23,L04AG03,2024
L04AA25,L04AJ01,2024
L04AA26,L04AG04,2024
L04AA27,L04AE01,2024
L04AA29,L04AF01,2024
L04AA31,L04AK02,2024
L04AA33,L04AG05,2024
L04AA34,L04AG06,2024
L04AA35,L04AG07,2024
L04AA36,L04AG08,2024
L04AA37,L04AF02,2024
L04AA38,L04AE02,2024
L04AA39,L04AG09,2024
L04AA42,L04AE03,2024
L04AA43,L04AJ02,2024
L04AA44,L04AF03,2024
L04AA45,L04AF04,2024
L04AA46,L04AF05,2024
L04AA47,L04AG10,2024
L04AA49,L04AF06,2024
L04AA50,L04AE04,2024
L04AA51,L04AG11,2024
L04AA52,L04AG12,2024
L04AA53,L04AG13,2024
L04AA54,L04AJ03,2024
L04AA55,L04AJ04,2024
L04AA56,L04AF07,2024
L04AA57,L04AG14,2024
L04AA59,L04AJ05,2024
L04AC06,R03DX09,2017
M01AE51,N02AJ03,2017
M01AE51,N02AJ08,2017
N01AB03,N02BG09,2009
N01AX01,N05AD08,2013
N02AA09,N07BC06,2013
N02AA55,N02AJ17,2017
N02AA55,N02AJ18,2017
N02AA55,N02AJ19,2017
N02AA58,N02AJ01,2017
N02AA58,N02AJ02,2017
N02AA58,N02AJ03,2017
N02AA59,N02AJ06,2017
N02AA59,N02AJ07,2017
N02AA59,N02AJ08,2017
N02AA59,N02AJ09,2017
N02AX52,N02AJ13,2017
N02BA51,N02AJ02,2017
N02BA51,N02AJ07,2017
N02BA51,N02AJ18,2017
N02BE51,N02AJ01,2017
N02BE51,N02AJ06,2017
N02BE51,N02AJ09,2017
N02BE51,N02AJ17,2017
N02BG11,N02BF03,2023
N02CX07,N02CD01,2020
N02CX08,N02CD02,2020
N03AX12,N02BF01,2023
N03AX16,N02BF02,2023
N05AK01,N07XX06,2008
N05AX09,N05AH06,2010
N05CM17,N05CH01,2008
N05CM19,N05CJ01,2024
N05CM21,N05CJ02,2024
N07BA02,N06AX12,2009
N07XX09,L04AX07,2019
P01BE52,P01BF01,2011
R03AK03,R03AL01,2014
R03AK04,R03AL02,2014
R03AK07,R03AK08,2014
R03AK07,R03AK09,2014
R03CA02,C01CA26,2011
R05CB12,G04BX16,2017
S01AX11,S01AE01,2013
S01AX12,S01AE02,2013
S01AX13,S01AE03,2013
S01AX17,S01AE04,2013
S01AX19,S01AE05,2013
S01AX21,S01AE06,2013
S01AX22,S01AE07,2013
S01AX23,S01AE08,2013
S01XA16,S01LA02,2007
S01XA17,S01LA03,2007
V09AX02,V09IX04,2005
